002271 东方雨虹 日线 后复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02052009,36.60,38.00,36.40,37.30,1865700,69470200.000
02062009,37.10,38.25,36.50,37.57,2245800,84381848.000
02092009,37.02,38.47,36.60,37.82,2272600,85148536.000
02102009,37.70,38.55,36.80,38.05,2051300,76863488.000
02112009,37.40,40.99,37.10,38.90,2670600,105699704.000
02122009,38.92,39.50,36.61,37.35,2151600,80476856.000
02132009,37.10,37.99,36.62,37.25,1661200,61789088.000
02172009,37.32,38.90,36.10,36.31,1773600,66820560.000
02182009,35.00,35.60,32.90,33.14,1973400,68033256.000
02192009,33.10,34.50,32.20,34.19,1507400,50160456.000
02202009,33.98,35.35,33.58,34.96,950300,32954590.000
02232009,35.15,35.40,34.50,35.22,892600,31337458.000
02242009,35.00,35.00,32.72,32.75,1484700,50041812.000
02252009,33.00,33.99,32.19,33.25,856500,28332976.000
02262009,33.60,33.60,30.68,30.89,1015600,32475972.000
02272009,30.55,31.69,28.02,28.60,1177600,35337136.000
03022009,28.03,29.40,27.66,29.10,939300,27073312.000
03032009,28.20,31.00,27.82,30.31,1228700,36613288.000
03042009,30.33,32.30,30.33,32.28,1333600,41559964.000
03052009,32.00,32.88,30.86,31.60,1178400,37521688.000
03062009,30.60,31.33,30.40,30.54,627600,19293050.000
03092009,30.50,30.94,28.53,28.61,756800,22356122.000
03102009,28.57,30.25,28.10,30.13,806100,23818754.000
03112009,30.60,31.50,30.60,31.00,1075500,33432192.000
03122009,30.67,31.00,28.88,29.80,865300,25578950.000
03132009,30.00,30.50,29.50,30.03,697700,20976852.000
03162009,30.18,30.76,29.00,30.53,560900,16854586.000
03172009,30.54,31.94,30.35,31.45,808600,25262404.000
03182009,31.75,34.60,31.30,34.60,2310900,77699248.000
03192009,34.60,34.99,33.95,34.75,1562100,53826004.000
03202009,34.50,35.23,33.61,34.31,1036100,35431920.000
03232009,33.90,36.25,33.90,34.57,1564600,55420016.000
03242009,34.95,35.49,34.01,34.70,999900,34645268.000
03252009,34.30,35.37,33.80,33.80,923500,32010318.000
03262009,33.50,34.20,32.66,33.70,896700,30000458.000
03272009,34.00,36.40,34.00,34.97,1558900,54822332.000
03302009,34.35,36.59,34.35,35.88,1062500,38102636.000
03312009,35.30,38.38,34.68,37.79,1796200,66258396.000
04012009,37.68,38.60,36.80,37.52,1252700,46984040.000
04022009,37.53,39.39,37.53,38.58,1220600,46993692.000
04032009,38.40,42.44,38.40,42.44,2720500,113318104.000
04072009,43.00,43.00,40.61,41.15,2101400,87106168.000
04082009,39.60,39.60,37.04,37.04,3912500,148864848.000
04092009,36.00,39.25,35.90,38.44,2285300,85697472.000
04102009,37.85,38.88,37.50,38.30,2155300,82406712.000
04132009,38.39,38.60,37.81,38.00,1550900,59102564.000
04142009,38.30,40.40,37.83,39.85,2349300,92939608.000
04152009,39.30,41.38,38.56,39.43,1666800,66569740.000
04162009,39.59,39.59,37.51,38.09,1421600,54436776.000
04172009,38.24,38.75,37.69,38.10,837700,32021824.000
04202009,37.97,38.35,37.71,38.19,729100,27813460.000
04212009,38.01,38.01,36.63,36.95,1010100,37660448.000
04222009,36.80,37.45,34.50,34.93,947000,34266804.000
04232009,34.89,35.88,34.30,35.64,634700,22382602.000
04242009,35.91,37.08,35.63,36.30,780600,28641454.000
